Id,Nombre,Apellido,Precio,CodigoVuelo,TipoPasajero,EstadoVuelo
67,Blanch,Vázquez,15000.000000,IB080Aterrizado,FirstClass,Aterrizado
68,Cristobal,Cáceres,15000.000000,IB080Aterrizado,FirstClass,Aterrizado
69,Paulita,Yáñez,50000.000000,IB080Aterrizado,FirstClass,Aterrizado
70,Sayre,Leiva,33000.000000,IB080Aterrizado,FirstClass,Aterrizado
71,Shaughn,Escobar,15000.000000,IB080Aterrizado,FirstClass,Aterrizado
72,Katrine,Ruiz,25000.000000,IB080Aterrizado,FirstClass,Aterrizado
73,Cristi,Valdés,42000.000000,IB080Aterrizado,FirstClass,Aterrizado
74,Cristie,Vidal,25000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
75,Solomon,Salinas,10000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
76,Nananne,Zúñiga,33000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
77,Sacha,Peña,25000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
78,Morse,Godoy,25000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
79,Roland,Lagos,25000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
80,Jesselyn,Maldonado,30000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
81,Kylila,Bustos,12000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
82,Kendre,Medina,25000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
83,Lesya,Pino,15000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
84,Tatiania,Palma,20000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
85,Trenton,Moreno,12000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
86,Angie,Sanhueza,20000.000000,MM098EnHorario,FirstClass,EnHorario
87,Joelle,Carvajal,37000.000000,MM098EnHorario,FirstClass,EnHorario
88,George,Navarrete,30000.000000,MM098EnHorario,ExecutiveClass,EnHorario
89,Guenevere,Sáez,30000.000000,MM098EnHorario,ExecutiveClass,EnHorario
90,Margaretha,Alvarado,10000.000000,MM098EnHorario,ExecutiveClass,EnHorario
91,Sully,Donoso,15000.000000,MM098EnHorario,ExecutiveClass,EnHorario
92,Lonni,Poblete,50000.000000,MM098EnHorario,ExecutiveClass,EnHorario
93,Nicky,Bustamante,42000.000000,MM098EnHorario,ExecutiveClass,EnHorario
94,My,Toro,18000.000000,MM098EnHorario,ExecutiveClass,EnHorario
95,Kyrstin,Ortega,37000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
96,Martino,Venegas,15000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
97,Marcellus,Guerrero,50000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
98,Jacquelin,Mendoza,30000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
99,Aleda,Farías,50000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
100,Georgeta,SanMartín,10000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
101,Marcille,González,10000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
102,Ertha,Fernández,10000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
103,Desiri,Rodríguez,25000.000000,MM098EnHorario,ExecutiveClass,EnHorario
104,Geneva,López,33000.000000,MM098EnHorario,ExecutiveClass,EnHorario
105,Kilian,Martínez,42000.000000,MM098EnHorario,ExecutiveClass,EnHorario
106,Nance,Sánchez,10000.000000,MM098EnHorario,ExecutiveClass,EnHorario
107,Gaven,Pérez,10000.000000,MM098EnHorario,ExecutiveClass,EnHorario
108,Carlie,Gómez,10000.000000,MM098EnHorario,ExecutiveClass,EnHorario
109,Trixie,Martín,42000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
110,Dominick,Jiménez,30000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
111,Petey,Ruiz,15000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
112,Tersina,Hernández,30000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
113,Johnathon,Díaz,15000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
114,Freddie,Moreno,12000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
115,Harmon,Álvarez,50000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
116,Tracey,Muñoz,20000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
117,Cherrita,Romero,33000.000000,MM098EnHorario,ExecutiveClass,EnHorario
118,Stu,Alonso,12000.000000,MM098EnHorario,ExecutiveClass,EnHorario
119,Glenda,Gutiérrez,37000.000000,MM098EnHorario,ExecutiveClass,EnHorario
120,Lorettalorna,Navarro,25000.000000,MM098EnHorario,ExecutiveClass,EnHorario
121,Patrizio,Torres,15000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
122,Linda,Domínguez,30000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
123,Pippa,Vázquez,20000.000000,IB080Aterrizado,ExecutiveClass,Aterrizado
124,Pen,Ramos,18000.000000,IB080Aterrizado,EconomyClass,Aterrizado
125,Esteban,González,15000.000000,IB080Aterrizado,EconomyClass,Aterrizado
126,Fonzie,Muñoz,15000.000000,IB080Aterrizado,EconomyClass,Aterrizado
127,Cindelyn,Rojas,12000.000000,IB080Aterrizado,EconomyClass,Aterrizado
128,Zacharie,Díaz,30000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
129,Vina,Pérez,42000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
130,Omero,Soto,10000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
131,Tom,Contreras,33000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
132,Dante,Silva,30000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
133,Cordy,Martínez,18000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
134,Stephenie,Sepúlveda,50000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
135,Dunstan,Morales,20000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
136,Gideon,Rodríguez,15000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
137,Johnette,López,10000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
138,Brynn,Fuentes,50000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
139,Yankee,Hernández,42000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
140,Corbin,Torres,42000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
141,Coreen,Araya,18000.000000,IB080Aterrizado,EconomyClass,Aterrizado
142,Tanya,Flores,30000.000000,IB080Aterrizado,EconomyClass,Aterrizado
143,Jenna,Espinoza,25000.000000,IB080Aterrizado,EconomyClass,Aterrizado
144,Flora,Valenzuela,33000.000000,IB080Aterrizado,EconomyClass,Aterrizado
145,Dianna,Castillo,20000.000000,IB080Aterrizado,EconomyClass,Aterrizado
146,Armand,Tapia,15000.000000,IB080Aterrizado,EconomyClass,Aterrizado
147,Gustie,Reyes,42000.000000,IB080Aterrizado,EconomyClass,Aterrizado
148,Benton,Gutiérrez,12000.000000,IB080Aterrizado,EconomyClass,Aterrizado
149,Lena,Castro,25000.000000,IB080Aterrizado,EconomyClass,Aterrizado
150,Dot,Pizarro,18000.000000,IB080Aterrizado,EconomyClass,Aterrizado
151,Meryl,Álvarez,12000.000000,IB080Aterrizado,EconomyClass,Aterrizado
152,Babbie,Vásquez,15000.000000,IB080Aterrizado,EconomyClass,Aterrizado
153,Byram,Sánchez,42000.000000,IB080Aterrizado,EconomyClass,Aterrizado
154,Bertine,Fernández,25000.000000,IB080Aterrizado,EconomyClass,Aterrizado
155,Osbert,Ramírez,42000.000000,IB080Aterrizado,EconomyClass,Aterrizado
156,Tanny,Carrasco,42000.000000,IB080Aterrizado,EconomyClass,Aterrizado
157,Maryjo,Gómez,12000.000000,IB080Aterrizado,EconomyClass,Aterrizado
158,Clarie,Cortés,42000.000000,IB080Aterrizado,EconomyClass,Aterrizado
159,Kipp,Herrera,15000.000000,IB080Aterrizado,EconomyClass,Aterrizado
160,Leonie,Núñez,50000.000000,IB080Aterrizado,EconomyClass,Aterrizado
161,Ferdie,Jara,15000.000000,IB080Aterrizado,EconomyClass,Aterrizado
162,Ofella,Vergara,50000.000000,IB080Aterrizado,EconomyClass,Aterrizado
163,Pascale,Rivera,15000.000000,IB080Aterrizado,EconomyClass,Aterrizado
164,Cathrin,Figueroa,30000.000000,IB080Aterrizado,EconomyClass,Aterrizado
165,Sib,Riquelme,33000.000000,IB080Aterrizado,EconomyClass,Aterrizado
166,Darleen,García,42000.000000,IB080Aterrizado,EconomyClass,Aterrizado
167,Didi,Miranda,15000.000000,IB080Aterrizado,EconomyClass,Aterrizado
168,Lodovico,Bravo,18000.000000,IB080Aterrizado,EconomyClass,Aterrizado
169,Farley,Vera,12000.000000,IB080Aterrizado,EconomyClass,Aterrizado
170,Devi,Molina,25000.000000,IB080Aterrizado,EconomyClass,Aterrizado
171,Clair,Vega,37000.000000,IB080Aterrizado,EconomyClass,Aterrizado
172,Addy,Campos,33000.000000,IB080Aterrizado,EconomyClass,Aterrizado
173,Brandon,Sandoval,18000.000000,IB080Aterrizado,EconomyClass,Aterrizado
174,Prentiss,Orellana,30000.000000,IB080Aterrizado,EconomyClass,Aterrizado
175,Lorant,Cárdenas,50000.000000,MM098EnHorario,ExecutiveClass,EnHorario
176,Wanids,Olivares,30000.000000,MM098EnHorario,ExecutiveClass,EnHorario
177,Robbi,Alarcón,10000.000000,MM098EnHorario,ExecutiveClass,EnHorario
178,Mellicent,Gallardo,50000.000000,MM098EnHorario,ExecutiveClass,EnHorario
179,Lynea,Ortiz,20000.000000,MM098EnHorario,ExecutiveClass,EnHorario
180,Nial,Garrido,15000.000000,MM098EnHorario,ExecutiveClass,EnHorario
181,Guillaume,Salazar,37000.000000,MM098EnHorario,ExecutiveClass,EnHorario
182,Loutitia,Guzmán,25000.000000,MM098EnHorario,ExecutiveClass,EnHorario
183,Ruthe,Henríquez,30000.000000,MM098EnHorario,ExecutiveClass,EnHorario
184,Eric,Saavedra,50000.000000,MM098EnHorario,ExecutiveClass,EnHorario
185,Marcellus,Navarro,30000.000000,MM098EnHorario,ExecutiveClass,EnHorario
186,Ian,Aguilera,42000.000000,MM098EnHorario,ExecutiveClass,EnHorario
187,Sebastien,Parra,37000.000000,MM098EnHorario,ExecutiveClass,EnHorario
188,Scarface,Romero,50000.000000,MM098EnHorario,ExecutiveClass,EnHorario
189,Maible,Aravena,18000.000000,MM098EnHorario,ExecutiveClass,EnHorario
190,Waldon,Vargas,30000.000000,MM098EnHorario,ExecutiveClass,EnHorario
191,Bethina,Vázquez,15000.000000,MM098EnHorario,ExecutiveClass,EnHorario
192,Farand,Cáceres,42000.000000,MM098EnHorario,ExecutiveClass,EnHorario
193,Zolly,Yáñez,25000.000000,MM098EnHorario,ExecutiveClass,EnHorario
194,Philipa,Leiva,42000.000000,TU678Aterrizado,FirstClass,Aterrizado
195,Roderigo,Escobar,20000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
196,Otho,Ruiz,20000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
197,Alasteir,Valdés,20000.000000,BA249Aterrizado,ExecutiveClass,Aterrizado
198,Eleonora,Vidal,42000.000000,BA249Aterrizado,EconomyClass,Aterrizado
199,Eliot,Salinas,12000.000000,BA249Aterrizado,EconomyClass,Aterrizado
200,Alana,Zúñiga,30000.000000,BA249Aterrizado,EconomyClass,Aterrizado
201,Odey,Peña,20000.000000,BA249Aterrizado,EconomyClass,Aterrizado
202,Yorke,Godoy,15000.000000,BA249Aterrizado,EconomyClass,Aterrizado
203,Cissiee,Lagos,18000.000000,BA249Aterrizado,EconomyClass,Aterrizado
204,Jillana,Maldonado,18000.000000,BA249Aterrizado,EconomyClass,Aterrizado
205,Mallorie,Bustos,30000.000000,TU678Aterrizado,FirstClass,Aterrizado
206,Borden,Medina,12000.000000,TU678Aterrizado,FirstClass,Aterrizado
207,Maddie,Pino,33000.000000,TU678Aterrizado,FirstClass,Aterrizado
208,Weider,Palma,50000.000000,TU678Aterrizado,FirstClass,Aterrizado
209,Asia,Moreno,37000.000000,TU678Aterrizado,FirstClass,Aterrizado
210,Sayres,Sanhueza,10000.000000,TU678Aterrizado,FirstClass,Aterrizado
211,Marcile,Carvajal,30000.000000,TU678Aterrizado,FirstClass,Aterrizado
212,Thomasina,Navarrete,42000.000000,TU678Aterrizado,FirstClass,Aterrizado
213,Darwin,Sáez,18000.000000,TU678Aterrizado,FirstClass,Aterrizado
214,Nicolina,Alvarado,30000.000000,TU678Aterrizado,FirstClass,Aterrizado
215,Nita,Donoso,12000.000000,TU678Aterrizado,FirstClass,Aterrizado
216,Nikoletta,Poblete,12000.000000,TU678Aterrizado,FirstClass,Aterrizado
217,Dwight,Bustamante,42000.000000,TU678Aterrizado,FirstClass,Aterrizado
218,Romola,Toro,50000.000000,TU678Aterrizado,FirstClass,Aterrizado
219,Kaile,Ortega,33000.000000,TU678Aterrizado,FirstClass,Aterrizado
220,Mozes,Venegas,25000.000000,TU678Aterrizado,FirstClass,Aterrizado
221,Aylmer,Guerrero,33000.000000,TU678Aterrizado,FirstClass,Aterrizado
222,Marina,Mendoza,12000.000000,TU678Aterrizado,FirstClass,Aterrizado
223,Enrico,Farías,50000.000000,TU678Aterrizado,FirstClass,Aterrizado
224,Zonda,SanMartín,33000.000000,TU678Aterrizado,FirstClass,Aterrizado
225,Adriano,González,33000.000000,TU678Aterrizado,FirstClass,Aterrizado
226,Trula,Fernández,30000.000000,TU678Aterrizado,FirstClass,Aterrizado
227,Adel,Rodríguez,30000.000000,TU678Aterrizado,FirstClass,Aterrizado
228,Jeniece,López,15000.000000,TU678Aterrizado,FirstClass,Aterrizado
229,Tabina,Martínez,10000.000000,TU678Aterrizado,FirstClass,Aterrizado
230,Liana,Sánchez,33000.000000,TU678Aterrizado,FirstClass,Aterrizado
231,Marmaduke,Pérez,10000.000000,BA249Aterrizado,EconomyClass,Aterrizado
232,Alla,Gómez,30000.000000,BA249Aterrizado,EconomyClass,Aterrizado
233,Peter,Martín,12000.000000,BA249Aterrizado,EconomyClass,Aterrizado
234,Pietro,Jiménez,18000.000000,BA249Aterrizado,EconomyClass,Aterrizado
235,Hiram,Ruiz,20000.000000,BA249Aterrizado,EconomyClass,Aterrizado
236,Anastasia,Hernández,18000.000000,BA249Aterrizado,EconomyClass,Aterrizado
237,Cathleen,Díaz,10000.000000,TU678Aterrizado,FirstClass,Aterrizado
238,Leeanne,Moreno,15000.000000,TU678Aterrizado,FirstClass,Aterrizado
239,Chet,Álvarez,42000.000000,TU678Aterrizado,FirstClass,Aterrizado
240,Billie,Muñoz,37000.000000,TU678Aterrizado,FirstClass,Aterrizado
241,Alexandra,Romero,42000.000000,TU678Aterrizado,FirstClass,Aterrizado
242,Broddie,Alonso,42000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
243,Brigham,Gutiérrez,25000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
244,Cal,Navarro,42000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
245,Donal,Torres,18000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
246,Adam,Domínguez,20000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
247,Dotty,Vázquez,42000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
248,Maynard,Ramos,18000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
249,Jessee,González,30000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
250,Tiphani,Muñoz,42000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
251,Jenna,Rojas,30000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
252,Karlotte,Díaz,20000.000000,BA249Aterrizado,EconomyClass,Aterrizado
253,Norene,Pérez,25000.000000,BA249Aterrizado,EconomyClass,Aterrizado
254,Morris,Soto,10000.000000,BA249Aterrizado,EconomyClass,Aterrizado
255,Yuri,Contreras,25000.000000,BA249Aterrizado,EconomyClass,Aterrizado
256,Gusty,Silva,10000.000000,BA249Aterrizado,EconomyClass,Aterrizado
257,Jori,Martínez,12000.000000,BA249Aterrizado,EconomyClass,Aterrizado
258,Sydelle,Sepúlveda,30000.000000,BA249Aterrizado,EconomyClass,Aterrizado
259,Merrile,Morales,50000.000000,BA249Aterrizado,EconomyClass,Aterrizado
260,Tadd,Rodríguez,50000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
261,Josiah,López,10000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
262,Melisa,Fuentes,12000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
263,Orelee,Hernández,20000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
264,Stephen,Torres,37000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
265,Blair,Araya,50000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
266,Arel,Flores,30000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
267,Abbie,Espinoza,25000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
268,Channa,Valenzuela,50000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
269,Shirl,Castillo,20000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
270,Edlin,Tapia,20000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
271,Larina,Reyes,18000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
272,Duncan,Gutiérrez,37000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
273,Bond,Castro,10000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
274,Dyann,Pizarro,50000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
275,Charmian,Álvarez,15000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
276,Dru,Vásquez,50000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
277,Kiel,Sánchez,50000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
278,Emory,Fernández,15000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
279,Alberik,Ramírez,50000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
280,Koenraad,Carrasco,20000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
281,Rafaellle,Gómez,50000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
282,Edie,Cortés,25000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
283,Osbert,Herrera,15000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
284,Sidonia,Núñez,10000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
285,Bartel,Jara,37000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
286,Jodi,Vergara,30000.000000,BA249Aterrizado,EconomyClass,Aterrizado
287,Ofelia,Rivera,30000.000000,BA249Aterrizado,EconomyClass,Aterrizado
288,Dudley,Figueroa,42000.000000,BA249Aterrizado,EconomyClass,Aterrizado
289,Dulcea,Riquelme,25000.000000,BA249Aterrizado,EconomyClass,Aterrizado
290,Gordon,García,25000.000000,BA249Aterrizado,EconomyClass,Aterrizado
291,Chalmers,Miranda,10000.000000,BA249Aterrizado,EconomyClass,Aterrizado
292,Christiano,Bravo,50000.000000,BA249Aterrizado,EconomyClass,Aterrizado
293,Russell,Vera,50000.000000,BA249Aterrizado,EconomyClass,Aterrizado
294,Cleo,Molina,50000.000000,BA249Aterrizado,EconomyClass,Aterrizado
295,Catriona,Vega,42000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
296,Leigh,Campos,37000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
297,Ddene,Sandoval,12000.000000,TU678Aterrizado,ExecutiveClass,Aterrizado
298,Sayre,Orellana,18000.000000,TU678Aterrizado,EconomyClass,Aterrizado
299,Jody,Cárdenas,33000.000000,TU678Aterrizado,EconomyClass,Aterrizado
300,Zabrina,Olivares,12000.000000,TU678Aterrizado,EconomyClass,Aterrizado
301,Cos,Alarcón,30000.000000,TU678Aterrizado,EconomyClass,Aterrizado
302,Ron,Gallardo,20000.000000,TU678Aterrizado,EconomyClass,Aterrizado
303,Charin,Ortiz,12000.000000,TU678Aterrizado,EconomyClass,Aterrizado
304,Coleman,Garrido,33000.000000,TU678Aterrizado,EconomyClass,Aterrizado
305,Jacinda,Salazar,50000.000000,TU678Aterrizado,EconomyClass,Aterrizado
306,Silvan,Guzmán,12000.000000,TU678Aterrizado,EconomyClass,Aterrizado
307,Renie,Henríquez,33000.000000,TU678Aterrizado,EconomyClass,Aterrizado
308,Davide,Saavedra,42000.000000,TU678Aterrizado,EconomyClass,Aterrizado
309,Ernestus,Navarro,12000.000000,TU678Aterrizado,EconomyClass,Aterrizado
310,Brnaba,Aguilera,37000.000000,TU678Aterrizado,EconomyClass,Aterrizado
311,Tabor,Parra,37000.000000,TU678Aterrizado,EconomyClass,Aterrizado
312,Lenci,Romero,42000.000000,TU678Aterrizado,EconomyClass,Aterrizado
313,Franchot,Aravena,12000.000000,TU678Aterrizado,EconomyClass,Aterrizado
314,Charisse,Vargas,50000.000000,TU678Aterrizado,EconomyClass,Aterrizado
315,Timothea,Vázquez,20000.000000,TU678Aterrizado,EconomyClass,Aterrizado
316,Angelika,Cáceres,50000.000000,BA249Aterrizado,EconomyClass,Aterrizado
317,Web,Yáñez,37000.000000,BA249Aterrizado,EconomyClass,Aterrizado
318,Urban,Leiva,10000.000000,BA249Aterrizado,EconomyClass,Aterrizado
319,Fan,Escobar,18000.000000,BA249Aterrizado,EconomyClass,Aterrizado
320,Donaugh,Ruiz,12000.000000,BA249Aterrizado,EconomyClass,Aterrizado
321,Wilona,Valdés,25000.000000,BA249Aterrizado,EconomyClass,Aterrizado
322,Richard,Vidal,42000.000000,BA249Aterrizado,EconomyClass,Aterrizado
323,Hilary,Salinas,37000.000000,BA249Aterrizado,EconomyClass,Aterrizado
324,Ad,Zúñiga,33000.000000,BA249Aterrizado,EconomyClass,Aterrizado
325,Maynord,Peña,42000.000000,BA249Aterrizado,EconomyClass,Aterrizado
326,Lina,Godoy,12000.000000,TU678Aterrizado,EconomyClass,Aterrizado
327,Nerty,Lagos,20000.000000,TU678Aterrizado,EconomyClass,Aterrizado
328,Matias,Maldonado,33000.000000,TU678Aterrizado,EconomyClass,Aterrizado
329,Urbano,Bustos,50000.000000,TU678Aterrizado,EconomyClass,Aterrizado
330,Rosemarie,Medina,33000.000000,TU678Aterrizado,EconomyClass,Aterrizado
